Tanggal,Tweet,Sentimen,Aspek_Bisnis
2026-06-03,"bagus, simple dan mudah digunakan",Positif,Fitur Produk / Transaksi
2026-06-03,so beautifull,Positif,Fitur Produk / Transaksi
2026-06-03,aplikasi yang sangat bagus,Positif,Aplikasi Digital (Bug/UI)
2026-06-03,mantap,Positif,Fitur Produk / Transaksi
2026-06-03,mantapp lebih mudah kalo mau gadai,Positif,Harga Emas & Gadai
2026-06-03,bagus,Positif,Fitur Produk / Transaksi
2026-06-03,"Proses pembelian emas sangat cepat dan efisien, sangat mengsanka",Positif,Harga Emas & Gadai
2026-06-03,semoga berjaya,Positif,Fitur Produk / Transaksi
2026-06-03,kereeen. semoga bisa berkembang,Positif,Fitur Produk / Transaksi
2026-06-03,yyyhu,Positif,Fitur Produk / Transaksi
2026-06-03,aplikasi sampah,Positif,Aplikasi Digital (Bug/UI)
2026-06-03,sangat membantu dan proses nya mudah,Positif,Customer Service / Pelayanan
2026-06-03,sangat bagus,Positif,Fitur Produk / Transaksi
2026-06-03,"aplikasi nya bgus,lumanyan buat waktu luang",Positif,Aplikasi Digital (Bug/UI)
2026-06-03,Mudah digunakan,Positif,Fitur Produk / Transaksi
2026-06-03,bAgus,Positif,Fitur Produk / Transaksi
2026-06-03,keren,Positif,Fitur Produk / Transaksi
2026-06-03,bagus,Positif,Fitur Produk / Transaksi
2026-06-03,"maaf pegadaian ku kasih bintang 2 ,karena aku cicil emas sudah lunas, tapi kenapa aku cek bagian ambil fisik gak ada keterangannya ya, aplikasinya jg sudah ku update",Positif,Aplikasi Digital (Bug/UI)
2026-06-03,bagus banget aplikasinya membantu saya,Positif,Aplikasi Digital (Bug/UI)
2026-06-03,easy to use,Positif,Fitur Produk / Transaksi
2026-06-03,aplikasi nya bagus,Positif,Aplikasi Digital (Bug/UI)
2026-06-03,"cukup bagus untuk apk nya,",Positif,Fitur Produk / Transaksi
2026-06-03,"Rekening pencairannya tolong diadakan Opsi E-wallet. saya terkendala di pencairan nya aja karena saya pakai BCA, sedangkan bank lain ribet lagi kalau buat ulang rekening.",Negatif,Fitur Produk / Transaksi
2026-06-03,apk nya bagus sangat di rekomendasikan,Positif,Fitur Produk / Transaksi
2026-06-03,beli mas udah satu juta 100 eh malah pas mau di jual malah nerima 930000 mana harus ada saldo ngendap lagi,Negatif,Biaya & Administrasi
2026-06-03,aplikasi yang bagus,Positif,Aplikasi Digital (Bug/UI)
2026-06-03,sangat bagus ok,Positif,Fitur Produk / Transaksi
2026-06-03,baguss,Positif,Fitur Produk / Transaksi
2026-06-03,aplikasi pinjaman cepat cair dan aman dan sangat terpercaya di awasi ojk,Positif,Aplikasi Digital (Bug/UI)
2026-06-03,bagus,Positif,Fitur Produk / Transaksi
2026-06-03,bagus,Positif,Fitur Produk / Transaksi
2026-06-03,Goood,Positif,Fitur Produk / Transaksi
2026-06-03,mantap,Positif,Fitur Produk / Transaksi
2026-06-03,ok,Positif,Fitur Produk / Transaksi
2026-06-03,halaman muka yang bagus dan menarik,Positif,Fitur Produk / Transaksi
2026-06-03,kenapa saat pilih kantor cabang nga sulit sekali... sudah coba klik nama wilayah nya gk muncul... klik nama upc nya juga gak muncul,Positif,Customer Service / Pelayanan
2026-06-03,siipp,Positif,Fitur Produk / Transaksi
2026-06-03,sangat memuaskan,Positif,Fitur Produk / Transaksi
2026-06-03,luar biasa pelayanan dan mantap,Positif,Customer Service / Pelayanan
2026-06-03,bagus,Positif,Fitur Produk / Transaksi
2026-06-03,pitur di ps gcass knapa ga ada lagi,Negatif,Fitur Produk / Transaksi
2026-06-03,bagus bagus,Positif,Fitur Produk / Transaksi
2026-06-03,bagus mantap,Positif,Fitur Produk / Transaksi
2026-06-03,bagus banget aplikasi nya,Positif,Aplikasi Digital (Bug/UI)
2026-06-03,bagus coyy,Positif,Fitur Produk / Transaksi
2026-06-03,bgus,Positif,Fitur Produk / Transaksi
2026-06-03,mudah dan menjanjikan,Positif,Fitur Produk / Transaksi
2026-06-03,good job,Positif,Fitur Produk / Transaksi
2026-06-03,bis ga buat kusus dompet digital biar buyar ga kna admin sekalo top up simpan uang bisa transaski tampa admin,Negatif,Biaya & Administrasi
2026-06-03,good,Positif,Fitur Produk / Transaksi
2026-06-03,sangat bagus dan mantap,Positif,Fitur Produk / Transaksi
2026-06-03,aplikasi bagus cepat saat pegadaian,Positif,Aplikasi Digital (Bug/UI)
2026-06-03,masih banyak yang perlu di perbaiki kelancaran saat transaksi dab bug apk,Negatif,Aplikasi Digital (Bug/UI)
2026-06-03,bagus sekali aplikasi nya top lahh kasih bintang 5,Positif,Aplikasi Digital (Bug/UI)
2026-06-03,mantap,Positif,Fitur Produk / Transaksi
2026-06-03,good luck,Positif,Fitur Produk / Transaksi
2026-06-03,aplikasinya ok,Positif,Aplikasi Digital (Bug/UI)
2026-06-03,good,Positif,Fitur Produk / Transaksi
2026-06-03,bintang emass sgtt bgusss awww,Positif,Harga Emas & Gadai
2026-06-03,app ini sangat bags Dan terbaik matap pokoknya,Positif,Fitur Produk / Transaksi
2026-06-03,sangat bagus,Positif,Fitur Produk / Transaksi
2026-06-03,sangat baik,Positif,Fitur Produk / Transaksi
2026-06-03,hebat,Positif,Fitur Produk / Transaksi
2026-06-03,Yuhu yuhu terimakasih developer,Positif,Fitur Produk / Transaksi
2026-06-03,apk penghasilan,Positif,Fitur Produk / Transaksi
2026-06-03,oke,Positif,Fitur Produk / Transaksi
2026-06-03,aplikasi nya sangat bagus,Positif,Aplikasi Digital (Bug/UI)
2026-06-03,mantap,Positif,Fitur Produk / Transaksi
2026-06-03,wowwww,Positif,Fitur Produk / Transaksi
2026-06-03,keren,Positif,Fitur Produk / Transaksi
2026-06-03,bagus apk nya mudah di pahami,Positif,Fitur Produk / Transaksi
2026-06-03,"tring cocok untuk investasi,masa depan.",Positif,Fitur Produk / Transaksi
2026-06-03,worth it bangettt,Positif,Fitur Produk / Transaksi
2026-06-03,apk yang baguss,Positif,Fitur Produk / Transaksi
2026-06-03,Bagus,Positif,Fitur Produk / Transaksi
2026-06-03,"bagus banget, mantap👍",Positif,Fitur Produk / Transaksi
2026-06-03,"tolong adain fitur buat kendala masalah jual emas nya adain jangan lewat call senter jadi ribet kalo nggak ada pulsanya,chat costumer service kek bukan nya di balas pake ai",Negatif,Aplikasi Digital (Bug/UI)
2026-06-03,bagus sekali aplikasi ini,Positif,Aplikasi Digital (Bug/UI)
2026-06-03,sangat seru,Positif,Fitur Produk / Transaksi
2026-06-03,bagus,Positif,Fitur Produk / Transaksi
